CENSUS_YEAR;WARD;DWELLING_TYPE;DWELLING_TYPE_CODE;DWELLING_TYPE_DESCRIPTION;DWELLING_CNT;RESIDENT_CNT;OCPD_DWELLING_CNT;VACANT_DWELLING_CNT;OCPD_OWNERSHIP_CNT;RENOVATION_DWELLING_CNT;UNDER_CONST_DWELLING_CNT;INACTIVE_CNT;OTHER_PURPOSE_CNT
01/01/2015 12:00:00 AM;4;RESIDENCE IN COMMERCIAL STRUCTURE;9;A structure that is primarily commercial but which also contains one or two dwelling units.;3;6;3;0;0;0;0;0;0
01/01/2015 12:00:00 AM;4;OTHER - RESIDENTIAL;10;Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.;3;4;3;0;1;0;0;0;0
01/01/2015 12:00:00 AM;4;NURSING HOME, AUXILLARY HOSPITAL LODGE;11;A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.;2;225;2;0;0;0;0;0;0
01/01/2015 12:00:00 AM;4;OTHER - INSTITUTIONS;12;A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.;1;0;0;0;0;0;0;0;1
01/01/2015 12:00:00 AM;4;HOTELS, MOTELS  RESIDENCE;13;A structure that provides lodging.;4;56;4;0;0;0;0;0;0
01/01/2015 12:00:00 AM;5;SINGLE FAMILY HOME;1;A structure originally designed and built to contain a single dwelling unit.;19,964;70,441;19,682;192;15,926;57;13;12;8
01/01/2015 12:00:00 AM;5;DUPLEX;2;A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.;2,918;9,067;2,841;65;1,682;10;0;2;0
01/01/2005 12:00:00 AM;9;HOTELS, MOTELS  RESIDENCE;13;A structure that provides lodging.;13;202;6;7;0;0;0;0;0
01/01/2015 12:00:00 AM;5;MULTI-PLEX;3;A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.;1;5;1;0;1;0;0;0;0
01/01/2015 12:00:00 AM;5;APARTMENT;4;A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.;1,484;2,647;1,365;52;314;1;64;0;2
01/01/2015 12:00:00 AM;5;TOWN HOUSE;5;A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.;3,549;10,296;3,459;75;1,524;8;0;1;6
01/01/2015 12:00:00 AM;5;MANUFACTURED HOME;6;A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.;302;521;299;3;292;0;0;0;0
01/01/2015 12:00:00 AM;5;CONVERTED STRUCTURE;7;The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.;2,313;4,516;1,871;300;105;17;4;119;2
01/01/2015 12:00:00 AM;5;COMMUNAL HOUSING;8;A structure that ontains one dwelling unit, which accommodates multiple individuals who have separate sleeping facilities but share common cooking and/or bathroom facilities.;2;10;2;0;2;0;0;0;0
01/01/2015 12:00:00 AM;5;RESIDENCE IN COMMERCIAL STRUCTURE;9;A structure that is primarily commercial but which also contains one or two dwelling units.;1;1;1;0;0;0;0;0;0
01/01/2015 12:00:00 AM;5;OTHER - RESIDENTIAL;10;Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.;1;2;1;0;1;0;0;0;0
01/01/2015 12:00:00 AM;5;NURSING HOME, AUXILLARY HOSPITAL LODGE;11;A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.;3;307;3;0;1;0;0;0;0
01/01/2015 12:00:00 AM;5;OTHER - INSTITUTIONS;12;A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.;1;0;0;0;0;0;0;0;1
01/01/2015 12:00:00 AM;5;HOTELS, MOTELS  RESIDENCE;13;A structure that provides lodging.;16;108;10;6;0;0;0;0;0
01/01/2015 12:00:00 AM;6;SINGLE FAMILY HOME;1;A structure originally designed and built to contain a single dwelling unit.;19,770;61,844;19,240;276;18,000;59;168;15;12
01/01/2015 12:00:00 AM;6;DUPLEX;2;A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.;2,323;5,068;2,254;49;1,709;6;9;5;0
01/01/2015 12:00:00 AM;6;MULTI-PLEX;3;A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.;48;115;46;2;2;0;0;0;0
01/01/2015 12:00:00 AM;6;APARTMENT;4;A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.;5,185;8,075;4,892;163;2,452;5;111;5;9
01/01/2015 12:00:00 AM;6;TOWN HOUSE;5;A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.;4,902;10,374;4,722;142;3,563;8;24;5;1
01/01/2015 12:00:00 AM;6;MANUFACTURED HOME;6;A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.;1;0;0;0;0;0;0;1;0
01/01/2015 12:00:00 AM;6;CONVERTED STRUCTURE;7;The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.;283;408;232;30;22;0;1;17;3
01/01/2015 12:00:00 AM;6;OTHER - RESIDENTIAL;10;Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.;1;2;1;0;0;0;0;0;0
01/01/2015 12:00:00 AM;6;NURSING HOME, AUXILLARY HOSPITAL LODGE;11;A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.;7;478;7;0;1;0;0;0;0
01/01/2015 12:00:00 AM;6;OTHER - INSTITUTIONS;12;A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.;1;190;1;0;0;0;0;0;0
01/01/2015 12:00:00 AM;6;HOTELS, MOTELS  RESIDENCE;13;A structure that provides lodging.;2;4;2;0;0;0;0;0;0
01/01/2015 12:00:00 AM;7;SINGLE FAMILY HOME;1;A structure originally designed and built to contain a single dwelling unit.;17,279;42,901;16,444;473;12,702;103;186;25;48
01/01/2015 12:00:00 AM;7;DUPLEX;2;A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.;3,404;8,138;3,138;129;1,921;15;109;6;7
01/01/2015 12:00:00 AM;7;MULTI-PLEX;3;A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.;327;460;304;12;31;2;9;0;0
01/01/2015 12:00:00 AM;7;APARTMENT;4;A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.;15,721;19,883;13,038;755;3,354;315;1,518;11;84
01/01/2015 12:00:00 AM;7;TOWN HOUSE;5;A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.;2,687;5,613;2,534;91;1,221;8;49;1;4
01/01/2015 12:00:00 AM;7;MANUFACTURED HOME;6;A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.;1;0;0;1;0;0;0;0;0
01/01/2015 12:00:00 AM;7;CONVERTED STRUCTURE;7;The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.;2,659;3,698;2,182;319;103;21;2;129;6
01/01/2015 12:00:00 AM;7;COMMUNAL HOUSING;8;A structure that ontains one dwelling unit, which accommodates multiple individuals who have separate sleeping facilities but share common cooking and/or bathroom facilities.;17;31;17;0;1;0;0;0;0
01/01/2015 12:00:00 AM;7;RESIDENCE IN COMMERCIAL STRUCTURE;9;A structure that is primarily commercial but which also contains one or two dwelling units.;99;93;55;9;25;0;31;1;3
01/01/2015 12:00:00 AM;7;OTHER - RESIDENTIAL;10;Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.;14;52;11;3;2;0;0;0;0
01/01/2015 12:00:00 AM;7;NURSING HOME, AUXILLARY HOSPITAL LODGE;11;A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.;8;1,391;8;0;2;0;0;0;0
01/01/2015 12:00:00 AM;7;OTHER - INSTITUTIONS;12;A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.;4;93;3;1;1;0;0;0;0
01/01/2015 12:00:00 AM;7;HOTELS, MOTELS  RESIDENCE;13;A structure that provides lodging.;28;1,722;15;13;0;0;0;0;0
01/01/2015 12:00:00 AM;8;SINGLE FAMILY HOME;1;A structure originally designed and built to contain a single dwelling unit.;8,832;20,984;8,284;303;6,355;64;116;17;48
01/01/2015 12:00:00 AM;8;DUPLEX;2;A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.;2,544;5,750;2,290;115;1,409;8;121;7;3
01/01/2015 12:00:00 AM;8;MULTI-PLEX;3;A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.;261;387;223;11;58;8;18;0;1
01/01/2015 12:00:00 AM;8;APARTMENT;4;A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.;37,800;51,817;32,499;1,624;8,844;180;3,127;25;345
01/01/2015 12:00:00 AM;8;TOWN HOUSE;5;A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.;2,454;4,775;2,255;80;1,133;27;79;0;13
01/01/2015 12:00:00 AM;8;CONVERTED STRUCTURE;7;The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.;1,934;2,516;1,566;208;70;13;14;108;25
01/01/2015 12:00:00 AM;8;COMMUNAL HOUSING;8;A structure that ontains one dwelling unit, which accommodates multiple individuals who have separate sleeping facilities but share common cooking and/or bathroom facilities.;11;72;9;1;2;1;0;0;0
01/01/2015 12:00:00 AM;8;RESIDENCE IN COMMERCIAL STRUCTURE;9;A structure that is primarily commercial but which also contains one or two dwelling units.;78;79;48;3;2;0;0;18;9
01/01/2015 12:00:00 AM;8;OTHER - RESIDENTIAL;10;Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.;12;36;9;2;3;0;0;0;1
01/01/2015 12:00:00 AM;8;NURSING HOME, AUXILLARY HOSPITAL LODGE;11;A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.;9;649;6;2;0;0;0;0;1
01/01/2015 12:00:00 AM;8;OTHER - INSTITUTIONS;12;A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.;4;90;4;0;0;0;0;0;0
01/01/2015 12:00:00 AM;8;HOTELS, MOTELS  RESIDENCE;13;A structure that provides lodging.;24;703;22;2;0;0;0;0;0
01/01/2015 12:00:00 AM;9;SINGLE FAMILY HOME;1;A structure originally designed and built to contain a single dwelling unit.;17,652;42,705;17,007;353;13,663;110;96;32;54
01/01/2015 12:00:00 AM;9;DUPLEX;2;A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.;3,056;7,561;2,864;107;1,634;14;67;2;2
01/01/2015 12:00:00 AM;9;MULTI-PLEX;3;A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.;63;112;53;3;26;0;7;0;0
01/01/2015 12:00:00 AM;9;APARTMENT;4;A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.;10,035;14,539;8,800;360;2,429;27;754;47;47
01/01/2015 12:00:00 AM;9;TOWN HOUSE;5;A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.;3,250;6,899;3,098;85;1,944;11;10;32;14
01/01/2015 12:00:00 AM;9;MANUFACTURED HOME;6;A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.;408;675;386;19;344;0;0;1;2
01/01/2015 12:00:00 AM;9;CONVERTED STRUCTURE;7;The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.;2,447;3,192;1,998;259;105;19;6;146;19
01/01/2015 12:00:00 AM;9;COMMUNAL HOUSING;8;A structure that ontains one dwelling unit, which accommodates multiple individuals who have separate sleeping facilities but share common cooking and/or bathroom facilities.;3;31;3;0;0;0;0;0;0
01/01/2015 12:00:00 AM;9;RESIDENCE IN COMMERCIAL STRUCTURE;9;A structure that is primarily commercial but which also contains one or two dwelling units.;67;77;50;3;13;0;0;0;14
01/01/2015 12:00:00 AM;9;OTHER - RESIDENTIAL;10;Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.;21;67;21;0;3;0;0;0;0
01/01/2015 12:00:00 AM;9;NURSING HOME, AUXILLARY HOSPITAL LODGE;11;A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.;9;1,319;9;0;0;0;0;0;0
01/01/2015 12:00:00 AM;9;OTHER - INSTITUTIONS;12;A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.;1;1;1;0;0;0;0;0;0
01/01/2015 12:00:00 AM;9;HOTELS, MOTELS  RESIDENCE;13;A structure that provides lodging.;18;633;10;8;0;0;0;0;0
01/01/2015 12:00:00 AM;10;SINGLE FAMILY HOME;1;A structure originally designed and built to contain a single dwelling unit.;15,804;46,851;15,501;213;11,985;50;15;11;14
01/01/2015 12:00:00 AM;10;DUPLEX;2;A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.;2,541;7,395;2,445;61;1,155;22;5;3;5
01/01/2015 12:00:00 AM;10;MULTI-PLEX;3;A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.;104;166;91;10;12;0;2;1;0
01/01/2015 12:00:00 AM;10;APARTMENT;4;A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.;3,457;5,908;3,107;210;843;5;130;0;5
01/01/2015 12:00:00 AM;10;TOWN HOUSE;5;A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.;4,167;11,891;4,007;95;1,521;23;32;4;6
01/01/2015 12:00:00 AM;10;MANUFACTURED HOME;6;A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.;976;1,939;947;26;844;1;0;0;2
01/01/2015 12:00:00 AM;10;CONVERTED STRUCTURE;7;The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.;2,998;4,671;2,356;353;115;36;1;231;21
01/01/2015 12:00:00 AM;10;RESIDENCE IN COMMERCIAL STRUCTURE;9;A structure that is primarily commercial but which also contains one or two dwelling units.;19;27;18;1;5;0;0;0;0
01/01/2015 12:00:00 AM;10;OTHER - RESIDENTIAL;10;Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.;7;14;5;0;0;0;0;0;2
01/01/2015 12:00:00 AM;10;NURSING HOME, AUXILLARY HOSPITAL LODGE;11;A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.;2;289;2;0;0;0;0;0;0
01/01/2015 12:00:00 AM;10;OTHER - INSTITUTIONS;12;A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.;3;61;3;0;0;0;0;0;0
01/01/2015 12:00:00 AM;10;HOTELS, MOTELS  RESIDENCE;13;A structure that provides lodging.;4;48;2;2;0;0;0;0;0
01/01/2015 12:00:00 AM;11;SINGLE FAMILY HOME;1;A structure originally designed and built to contain a single dwelling unit.;17,799;46,523;17,197;335;15,408;128;100;32;7
01/01/2015 12:00:00 AM;11;DUPLEX;2;A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.;2,943;6,909;2,799;86;1,705;13;39;4;2
01/01/2015 12:00:00 AM;11;MULTI-PLEX;3;A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.;259;516;245;8;16;6;0;0;0
01/01/2015 12:00:00 AM;11;APARTMENT;4;A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.;9,693;15,025;9,036;490;2,509;11;63;44;49
01/01/2015 12:00:00 AM;11;TOWN HOUSE;5;A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.;5,212;11,235;5,034;118;3,064;10;48;1;1
01/01/2015 12:00:00 AM;11;CONVERTED STRUCTURE;7;The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.;689;1,004;582;74;25;5;0;27;1
01/01/2015 12:00:00 AM;11;COMMUNAL HOUSING;8;A structure that ontains one dwelling unit, which accommodates multiple individuals who have separate sleeping facilities but share common cooking and/or bathroom facilities.;1;6;1;0;0;0;0;0;0
01/01/2015 12:00:00 AM;11;RESIDENCE IN COMMERCIAL STRUCTURE;9;A structure that is primarily commercial but which also contains one or two dwelling units.;17;21;14;2;3;0;0;0;1
01/01/2015 12:00:00 AM;11;OTHER - RESIDENTIAL;10;Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.;13;34;9;3;4;0;0;0;1
01/01/2015 12:00:00 AM;11;NURSING HOME, AUXILLARY HOSPITAL LODGE;11;A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.;12;1,830;12;0;0;0;0;0;0
01/01/2015 12:00:00 AM;11;HOTELS, MOTELS  RESIDENCE;13;A structure that provides lodging.;6;37;4;2;0;0;0;0;0
01/01/2015 12:00:00 AM;12;SINGLE FAMILY HOME;1;A structure originally designed and built to contain a single dwelling unit.;27,838;84,088;26,805;288;24,843;19;649;7;70
01/01/2015 12:00:00 AM;12;DUPLEX;2;A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.;1,995;4,498;1,850;30;1,534;0;105;0;10
01/01/2015 12:00:00 AM;12;MULTI-PLEX;3;A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.;13;32;13;0;3;0;0;0;0
01/01/2015 12:00:00 AM;12;APARTMENT;4;A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.;4,049;4,958;2,842;279;1,868;1;907;2;18
01/01/2015 12:00:00 AM;12;TOWN HOUSE;5;A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.;4,718;8,907;4,198;157;3,069;8;335;0;20
01/01/2015 12:00:00 AM;12;MANUFACTURED HOME;6;A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.;5;11;4;1;2;0;0;0;0
01/01/2015 12:00:00 AM;12;CONVERTED STRUCTURE;7;The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.;56;81;41;9;6;0;5;0;1
01/01/2015 12:00:00 AM;12;COMMUNAL HOUSING;8;A structure that ontains one dwelling unit, which accommodates multiple individuals who have separate sleeping facilities but share common cooking and/or bathroom facilities.;1;0;0;0;0;0;1;0;0
01/01/2015 12:00:00 AM;12;OTHER - RESIDENTIAL;10;Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.;83;97;71;10;3;0;0;0;2
01/01/2015 12:00:00 AM;12;NURSING HOME, AUXILLARY HOSPITAL LODGE;11;A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.;4;390;3;0;0;0;1;0;0
01/01/2015 12:00:00 AM;12;HOTELS, MOTELS  RESIDENCE;13;A structure that provides lodging.;3;0;0;2;0;0;1;0;0
01/01/2015 12:00:00 AM;13;SINGLE FAMILY HOME;1;A structure originally designed and built to contain a single dwelling unit.;21,604;67,224;21,424;143;19,439;23;6;0;8
01/01/2015 12:00:00 AM;13;DUPLEX;2;A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.;1,268;2,958;1,256;8;1,020;1;0;3;0
01/01/2015 12:00:00 AM;13;MULTI-PLEX;3;A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.;3;8;3;0;3;0;0;0;0
01/01/2015 12:00:00 AM;13;APARTMENT;4;A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.;3,960;6,717;3,643;122;2,164;3;178;1;13
01/01/2015 12:00:00 AM;13;TOWN HOUSE;5;A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.;3,221;7,248;3,125;89;2,050;3;0;1;3
01/01/2015 12:00:00 AM;13;MANUFACTURED HOME;6;A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.;3;6;3;0;1;0;0;0;0
01/01/2015 12:00:00 AM;13;CONVERTED STRUCTURE;7;The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.;233;393;190;33;18;1;0;9;0
01/01/2015 12:00:00 AM;13;OTHER - RESIDENTIAL;10;Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.;1;0;0;0;0;0;0;0;1
01/01/2015 12:00:00 AM;13;NURSING HOME, AUXILLARY HOSPITAL LODGE;11;A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.;4;415;3;0;0;0;1;0;0
01/01/2015 12:00:00 AM;13;OTHER - INSTITUTIONS;12;A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.;1;56;1;0;1;0;0;0;0
01/01/2015 12:00:00 AM;13;HOTELS, MOTELS  RESIDENCE;13;A structure that provides lodging.;1;0;0;1;0;0;0;0;0
01/01/2015 12:00:00 AM;14;SINGLE FAMILY HOME;1;A structure originally designed and built to contain a single dwelling unit.;21,853;63,418;21,334;180;19,925;61;234;6;38
01/01/2015 12:00:00 AM;14;DUPLEX;2;A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.;1,775;4,422;1,727;14;1,406;6;26;1;1
01/01/2015 12:00:00 AM;14;MULTI-PLEX;3;A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.;17;50;17;0;1;0;0;0;0
01/01/2015 12:00:00 AM;14;APARTMENT;4;A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.;2,586;3,621;2,273;83;1,067;4;198;20;8
01/01/2015 12:00:00 AM;14;TOWN HOUSE;5;A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.;3,101;6,821;2,908;69;1,848;4;112;1;7
01/01/2015 12:00:00 AM;14;MANUFACTURED HOME;6;A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.;2;4;2;0;0;0;0;0;0
01/01/2015 12:00:00 AM;14;CONVERTED STRUCTURE;7;The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.;185;299;162;12;18;3;0;8;0
01/01/2015 12:00:00 AM;14;COMMUNAL HOUSING;8;A structure that ontains one dwelling unit, which accommodates multiple individuals who have separate sleeping facilities but share common cooking and/or bathroom facilities.;3;7;2;0;1;1;0;0;0
01/01/2015 12:00:00 AM;14;OTHER - RESIDENTIAL;10;Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.;2;10;2;0;0;0;0;0;0
01/01/2015 12:00:00 AM;14;NURSING HOME, AUXILLARY HOSPITAL LODGE;11;A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.;7;952;5;0;0;0;2;0;0
01/01/2015 12:00:00 AM;14;HOTELS, MOTELS  RESIDENCE;13;A structure that provides lodging.;5;12;3;2;0;0;0;0;0
01/01/2014 12:00:00 AM;1;SINGLE FAMILY HOME;1;A structure originally designed and built to contain a single dwelling unit.;21,267;60,984;20,853;197;18,966;82;104;12;19
01/01/2014 12:00:00 AM;1;DUPLEX;2;A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.;2,186;5,193;2,112;24;1,239;5;39;3;3
01/01/2014 12:00:00 AM;1;MULTI-PLEX;3;A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.;62;142;62;0;3;0;0;0;0
01/01/2014 12:00:00 AM;1;APARTMENT;4;A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.;5,885;9,348;5,249;95;1,329;17;504;4;16
01/01/2014 12:00:00 AM;1;TOWN HOUSE;5;A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.;3,863;7,937;3,700;104;2,072;49;5;4;1
01/01/2014 12:00:00 AM;1;MANUFACTURED HOME;6;A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.;500;953;486;8;450;3;0;2;1
01/01/2014 12:00:00 AM;1;CONVERTED STRUCTURE;7;The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.;756;1,222;670;53;55;8;0;23;2
01/01/2014 12:00:00 AM;1;COMMUNAL HOUSING;8;A structure that ontains one dwelling unit, which accommodates multiple individuals who have separate sleeping facilities but share common cooking and/or bathroom facilities.;8;674;5;1;0;0;2;0;0
01/01/2014 12:00:00 AM;1;RESIDENCE IN COMMERCIAL STRUCTURE;9;A structure that is primarily commercial but which also contains one or two dwelling units.;8;6;6;0;0;0;1;1;0
01/01/2014 12:00:00 AM;1;OTHER - RESIDENTIAL;10;Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.;9;84;9;0;0;0;0;0;0
